Metric,Model
Simulation time (sec),1000
Cycle time (sec),5.700000000000013
Throughput (items/sec),0.397
Utilization,---
MACHINE1 - SETUP_STATE,0.0
MACHINE1 - IDLE_STATE,722.0999999999929
MACHINE1 - PROCESSING_STATE,277.90000000000725
MACHINE1 - BLOCKED_STATE,0.0
MACHINE1- with 0 worker threads,0.0
MACHINE1- with 1 worker threads,1000.0
Time avg content in buffers  ,---
BUFFER1,0.0
Time avg content in CONVEYORBELT1  ,1.9925
