Metric,Model
Simulation time (sec),100
Cycle time (sec),5.5
Throughput (items/sec),0.94
Utilization,---
MACHINE1 - SETUP_STATE,0.0
MACHINE1 - IDLE_STATE,53.0
MACHINE1 - PROCESSING_STATE,47.0
MACHINE1 - BLOCKED_STATE,0.0
MACHINE1- with 0 worker threads,53.0
MACHINE1- with 1 worker threads,47.0
Time avg content in buffers  ,---
BUFFER1,0.0
