Metric,Model
Simulation time (sec),1000
Cycle time (sec),83.85239726027397
Throughput (items/sec),0.292
Utilization,---
MACHINE1 - SETUP_STATE,0.0
MACHINE1 - IDLE_STATE,6.2
MACHINE1 - PROCESSING_STATE,990.0
MACHINE1 - BLOCKED_STATE,0.0
MACHINE1- with 0 worker threads,0.0
MACHINE1- with 1 worker threads,996.2
Time avg content in buffers  ,---
BUFFER1,4.996
BUFFER2,4.994400000000001
BUFFER4,0.0
BUFFER5,0.0
BUFFER6,4.8565
BUFFER7,4.997
Time avg content in CONVEYORBELT  ,4.8875
